Team;Matches played;Wins;Draws;Losses;Total goals;Average scored;Total goals against;Average conceded;Goal difference
Wales;3;2;0;1;6;2;3;1;3
France;3;2;1;0;4;2;0;0;4
England;3;1;2;0;4;1.33;1;0.33;3
Slovakia;3;1;1;1;3;1.5;0;0;3
Switzerland;3;1;2;0;3;1.5;2;1;1
Romania;3;0;1;2;3;1.5;1;0.5;2
Russia;3;0;1;2;3;1.5;2;1;1
Albania;3;1;0;2;3;1;3;1;0
Spain;2;2;0;0;3;1;2;0.67;1
Italy;2;2;0;0;2;1;2;1;0
Hungary;2;1;1;0;2;1;1;0.5;1
Croatia;2;1;1;0;2;1;0;0;2
Belgium;2;1;0;1;2;1;3;1.5;-1
Germany;2;1;1;0;2;0.67;3;1;-1
Northern Ireland;2;1;0;1;2;0.67;6;2;-4
Iceland;2;0;2;0;2;0.67;1;0.33;1
Czech Republic;2;0;1;1;1;0.5;2;1;-1
Poland;2;1;1;0;1;0.5;0;0;1
Portugal;2;0;2;0;1;0.5;1;0.5;0
Republic of Ireland;2;0;1;1;1;0.5;4;2;-3
Sweden;2;0;1;1;1;0.33;3;1;-2
Austria;2;0;1;1;0;0;2;1;-2
Turkey;2;0;0;2;0;0;4;2;-4
Ukraine;2;0;0;2;0;0;4;2;-4
